,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Month
40,TXN_2083138,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-04-17,4
41,TXN_2427584,Sandwich,4.0,4.0,16.0,Credit Card,Takeaway,2023-12-22,12
42,TXN_6650263,Tea,2.0,1.5,3.0,Credit Card,Takeaway,2023-01-10,1
43,TXN_9620080,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-10-02,10
44,TXN_1491578,Cookie,2.0,1.0,2.0,Credit Card,Takeaway,2023-02-23,2
45,TXN_5455792,Salad,3.0,5.0,15.0,Cash,Takeaway,2023-03-22,3
46,TXN_8078640,Juice,4.0,3.0,12.0,Digital Wallet,In-store,2023-11-03,11
47,TXN_9499313,Juice,5.0,3.0,15.0,Credit Card,Takeaway,2023-03-02,3
48,TXN_8201146,Juice,5.0,3.0,15.0,Cash,Takeaway,2023-06-26,6
49,TXN_8230936,Cake,3.0,3.0,9.0,Credit Card,Takeaway,2023-05-02,5
50,TXN_7742742,Cake,5.0,3.0,15.0,Credit Card,Takeaway,2023-09-05,9
51,TXN_6342161,Salad,5.0,5.0,25.0,Credit Card,Takeaway,2023-01-08,1
52,TXN_8914892,Juice,5.0,5.0,25.0,Digital Wallet,Takeaway,2023-03-15,3
53,TXN_3363746,Smoothie,3.0,4.0,12.0,Credit Card,Takeaway,2023-11-25,11
54,TXN_8614868,Smoothie,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-12-05,12
55,TXN_5522862,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-03-19,3
57,TXN_2080895,Cake,3.0,3.0,9.0,Digital Wallet,In-store,2023-04-19,4
58,TXN_6421134,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-11-03,11
59,TXN_8813311,Juice,5.0,3.0,15.0,Credit Card,In-store,2023-10-07,10
60,TXN_9023317,Salad,1.0,5.0,5.0,Credit Card,Takeaway,2023-09-30,9
61,TXN_8051289,Juice,1.0,3.0,3.0,Credit Card,In-store,2023-10-09,10
62,TXN_2537617,Sandwich,1.0,4.0,4.0,Cash,Takeaway,2023-05-27,5
63,TXN_9099694,Juice,3.0,5.0,15.0,Credit Card,Takeaway,2023-11-18,11
64,TXN_9230615,Smoothie,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-06-01,6
66,TXN_8501819,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-03-30,3
67,TXN_3068204,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-10-03,10
69,TXN_8471743,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-04-06,4
70,TXN_2621580,Tea,2.0,1.5,3.0,Cash,In-store,2023-03-22,3
71,TXN_4726376,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-01-31,1
72,TXN_6044979,Juice,1.0,1.0,1.0,Cash,In-store,2023-12-08,12
73,TXN_4238417,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-06-19,6
74,TXN_1900620,Smoothie,2.0,4.0,8.0,Credit Card,Takeaway,2023-12-14,12
75,TXN_6420335,Coffee,1.0,2.0,2.0,Cash,Takeaway,2023-07-16,7
76,TXN_3858209,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-02-22,2
78,TXN_8735480,Tea,5.0,1.5,7.5,Cash,Takeaway,2023-06-02,6
79,TXN_3829165,Juice,4.0,3.0,12.0,Cash,In-store,2023-06-15,6
80,TXN_3748616,Coffee,2.0,2.0,4.0,Credit Card,In-store,2023-12-09,12
81,TXN_1993289,Sandwich,2.0,4.0,8.0,Credit Card,In-store,2023-04-18,4
82,TXN_2123367,Cookie,2.0,1.0,2.0,Credit Card,Takeaway,2023-11-07,11
83,TXN_5266394,Cake,3.0,3.0,9.0,Cash,In-store,2023-10-28,10
84,TXN_5107946,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-12-22,12
86,TXN_8718498,Cake,5.0,3.0,15.0,Credit Card,Takeaway,2023-04-30,4
87,TXN_3955361,Cookie,5.0,1.0,5.0,Credit Card,Takeaway,2023-04-02,4
88,TXN_9487821,Juice,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-05-24,5
89,TXN_4132730,Juice,5.0,1.0,5.0,Credit Card,In-store,2023-03-12,3
90,TXN_8976658,Tea,2.0,1.5,3.0,Credit Card,In-store,2023-08-16,8
91,TXN_5455936,Juice,5.0,3.0,15.0,Credit Card,In-store,2023-10-28,10
92,TXN_2725602,Juice,5.0,3.0,15.0,Credit Card,Takeaway,2023-09-10,9
93,TXN_3011323,Coffee,3.0,2.0,6.0,Credit Card,Takeaway,2023-03-07,3
94,TXN_6289610,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-08-07,8
95,TXN_8268061,Salad,3.0,5.0,15.0,Credit Card,Takeaway,2023-08-20,8
96,TXN_5220895,Salad,5.0,5.0,25.0,Cash,In-store,2023-06-10,6
97,TXN_3085509,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-04-15,4
98,TXN_9999113,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-05-27,5
99,TXN_8779771,Coffee,4.0,2.0,8.0,Cash,In-store,2023-07-25,7
100,TXN_9517146,Juice,5.0,5.0,25.0,Cash,Takeaway,2023-10-30,10
101,TXN_1621920,Salad,3.0,5.0,15.0,Credit Card,Takeaway,2023-10-28,10
102,TXN_3808639,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-12-15,12
105,TXN_6955416,Salad,4.0,5.0,20.0,Credit Card,In-store,2023-02-25,2
106,TXN_3775339,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-04-03,4
107,TXN_9547091,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-10-08,10
108,TXN_4358673,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-12-28,12
109,TXN_4174591,Tea,4.0,1.5,6.0,Digital Wallet,Takeaway,2023-08-30,8
110,TXN_3398520,Sandwich,1.0,4.0,4.0,Credit Card,In-store,2023-02-03,2
111,TXN_6171384,Smoothie,2.0,4.0,8.0,Credit Card,Takeaway,2023-09-12,9
112,TXN_2530938,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-04-27,4
113,TXN_3314971,Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-05-04,5
114,TXN_3092382,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-02-21,2
116,TXN_1535311,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-03-16,3
117,TXN_2148617,Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-01-10,1
119,TXN_4368416,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-02-24,2
120,TXN_9790731,Cake,2.0,3.0,6.0,Credit Card,Takeaway,2023-06-02,6
121,TXN_9339456,Coffee,3.0,2.0,6.0,Credit Card,Takeaway,2023-03-29,3
122,TXN_5179020,Cake,2.0,3.0,6.0,Credit Card,Takeaway,2023-06-18,6
123,TXN_6258471,Coffee,5.0,2.0,10.0,Digital Wallet,In-store,2023-09-23,9
124,TXN_7945375,Juice,3.0,3.0,9.0,Credit Card,Takeaway,2023-01-14,1
125,TXN_4685453,Tea,4.0,1.5,6.0,Cash,In-store,2023-09-14,9
126,TXN_9646452,Juice,5.0,3.0,15.0,Credit Card,Takeaway,2023-09-16,9
127,TXN_9096052,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-12-28,12
128,TXN_5916991,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-02-06,2
129,TXN_3407169,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-03-11,3
130,TXN_2277042,Tea,1.0,1.5,1.5,Cash,Takeaway,2023-04-08,4
131,TXN_9273729,Tea,1.0,1.5,1.5,Credit Card,Takeaway,2023-12-19,12
132,TXN_2181545,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-07-14,7
133,TXN_1150033,Juice,5.0,3.0,15.0,Cash,In-store,2023-04-18,4
134,TXN_1443912,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-06-08,6
135,TXN_8700451,Tea,5.0,1.5,7.5,Credit Card,Takeaway,2023-12-12,12
136,TXN_6380550,Coffee,5.0,2.0,10.0,Cash,In-store,2023-01-05,1
137,TXN_4885518,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-06-10,6
138,TXN_3972167,Sandwich,5.0,4.0,20.0,Credit Card,In-store,2023-01-23,1
139,TXN_4878378,Tea,1.0,1.5,1.5,Credit Card,Takeaway,2023-02-20,2
141,TXN_2368126,Cake,5.0,3.0,15.0,Credit Card,In-store,2023-12-06,12
143,TXN_8495063,Juice,1.0,3.0,3.0,Cash,Takeaway,2023-05-31,5
144,TXN_4811133,Salad,2.0,5.0,10.0,Cash,Takeaway,2023-08-11,8
145,TXN_8729570,Tea,5.0,1.5,7.5,Credit Card,In-store,2023-09-03,9
146,TXN_7623634,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-07-11,7
148,TXN_3424331,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-01-18,1
149,TXN_5072031,Cake,2.0,3.0,6.0,Cash,Takeaway,2023-03-23,3
150,TXN_8687151,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-06-10,6
152,TXN_5265095,Coffee,1.0,2.0,2.0,Credit Card,Takeaway,2023-06-23,6
153,TXN_6541415,Juice,3.0,3.0,9.0,Cash,In-store,2023-11-25,11
154,TXN_4108138,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-08-03,8
155,TXN_1909796,Smoothie,2.0,4.0,8.0,Credit Card,Takeaway,2023-07-12,7
156,TXN_1928241,Coffee,3.0,2.0,6.0,Cash,In-store,2023-04-30,4
157,TXN_4283157,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-11-25,11
158,TXN_8013032,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-03-07,3
159,TXN_8301424,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-06-27,6
163,TXN_1631695,Tea,2.0,1.5,3.0,Credit Card,In-store,2023-09-19,9
165,TXN_3226832,Juice,5.0,4.0,20.0,Cash,Takeaway,2023-09-04,9
166,TXN_1648671,Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-05-21,5
167,TXN_4062737,Cake,3.0,3.0,9.0,Cash,In-store,2023-07-02,7
168,TXN_3494565,Juice,2.0,4.0,8.0,Credit Card,Takeaway,2023-07-10,7
169,TXN_9249507,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-11-21,11
170,TXN_4689500,Sandwich,4.0,4.0,16.0,Credit Card,Takeaway,2023-12-02,12
171,TXN_8989148,Tea,2.0,1.5,3.0,Credit Card,Takeaway,2023-11-25,11
172,TXN_8316826,Coffee,3.0,2.0,6.0,Credit Card,In-store,2023-04-17,4
173,TXN_9836934,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-03-13,3
174,TXN_8005489,Cake,3.0,3.0,9.0,Credit Card,In-store,2023-08-12,8
176,TXN_3925836,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-02-16,2
177,TXN_1896955,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-09-23,9
178,TXN_5075974,Smoothie,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-04-11,4
179,TXN_3978874,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-03-13,3
180,TXN_8955912,Sandwich,1.0,4.0,4.0,Credit Card,Takeaway,2023-11-07,11
181,TXN_1136554,Smoothie,3.0,4.0,12.0,Credit Card,Takeaway,2023-03-26,3
182,TXN_8007337,Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-11-01,11
183,TXN_8129834,Salad,1.0,5.0,5.0,Cash,Takeaway,2023-07-22,7
184,TXN_3831848,Juice,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-11-03,11
185,TXN_5365809,Cake,3.0,3.0,9.0,Cash,In-store,2023-09-14,9
187,TXN_6629480,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-02-28,2
188,TXN_3833797,Coffee,4.0,2.0,8.0,Credit Card,In-store,2023-01-27,1
189,TXN_2643815,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-12-06,12
190,TXN_2996519,Cake,5.0,3.0,15.0,Cash,Takeaway,2023-01-19,1
191,TXN_8810894,Smoothie,1.0,4.0,4.0,Credit Card,Takeaway,2023-02-20,2
192,TXN_7412722,Juice,4.0,3.0,12.0,Cash,In-store,2023-04-07,4
193,TXN_3937509,Smoothie,2.0,4.0,8.0,Credit Card,In-store,2023-03-20,3
194,TXN_6000201,Cookie,3.0,1.0,3.0,Cash,Takeaway,2023-02-16,2
195,TXN_1714274,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-12-27,12
197,TXN_5115080,Juice,5.0,3.0,15.0,Credit Card,Takeaway,2023-02-18,2
198,TXN_9788956,Juice,3.0,3.0,9.0,Credit Card,Takeaway,2023-04-11,4
199,TXN_6311602,Juice,3.0,3.0,9.0,Credit Card,Takeaway,2023-05-15,5
200,TXN_2950680,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-12-10,12
201,TXN_6749847,Cake,2.0,3.0,6.0,Credit Card,Takeaway,2023-08-15,8
202,TXN_2143187,Smoothie,1.0,4.0,4.0,Credit Card,In-store,2023-04-21,4
203,TXN_8964522,Juice,3.0,3.0,9.0,Credit Card,Takeaway,2023-10-28,10
204,TXN_4088917,Coffee,3.0,2.0,6.0,Cash,Takeaway,2023-02-04,2
205,TXN_3779366,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-04-15,4
206,TXN_7724048,Smoothie,1.0,4.0,4.0,Credit Card,In-store,2023-11-12,11
207,TXN_2698591,Tea,5.0,1.5,7.5,Credit Card,Takeaway,2023-08-05,8
208,TXN_3171373,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-05-10,5
210,TXN_6498163,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-07-15,7
211,TXN_6717827,Juice,3.0,5.0,15.0,Digital Wallet,Takeaway,2023-11-15,11
214,TXN_8693704,Salad,3.0,5.0,15.0,Cash,In-store,2023-05-04,5
215,TXN_3857960,Salad,4.0,5.0,20.0,Cash,In-store,2023-04-26,4
216,TXN_3499124,Juice,4.0,4.0,16.0,Credit Card,Takeaway,2023-08-25,8
217,TXN_9250710,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-28,5
218,TXN_7058377,Juice,1.0,3.0,3.0,Credit Card,Takeaway,2023-04-30,4
219,TXN_6766492,Salad,1.0,5.0,5.0,Credit Card,Takeaway,2023-01-14,1
220,TXN_9879996,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-03-01,3
221,TXN_4291940,Cake,3.0,3.0,9.0,Credit Card,In-store,2023-11-13,11
222,TXN_7433461,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-07-09,7
223,TXN_4068262,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-05-13,5
225,TXN_5047447,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-12-27,12
226,TXN_6623508,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-05-18,5
227,TXN_2651216,Juice,3.0,4.0,12.0,Credit Card,Takeaway,2023-04-04,4
229,TXN_8377564,Cake,5.0,3.0,15.0,Credit Card,In-store,2023-07-14,7
230,TXN_7031118,Salad,1.0,5.0,5.0,Credit Card,Takeaway,2023-03-29,3
231,TXN_2230167,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-09-22,9
232,TXN_6446616,Tea,3.0,1.5,4.5,Credit Card,Takeaway,2023-09-30,9
233,TXN_1721827,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-08-22,8
234,TXN_6334895,Smoothie,1.0,4.0,4.0,Credit Card,Takeaway,2023-07-27,7
235,TXN_7077119,Juice,1.0,4.0,4.0,Digital Wallet,In-store,2023-12-30,12
236,TXN_8562645,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-05-18,5
237,TXN_4700144,Coffee,4.0,2.0,8.0,Credit Card,In-store,2023-12-21,12
238,TXN_5526852,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-09-28,9
240,TXN_8570890,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-04-14,4
241,TXN_3205009,Juice,2.0,1.5,3.0,Cash,In-store,2023-01-03,1
242,TXN_3786188,Tea,3.0,1.5,4.5,Credit Card,In-store,2023-10-20,10
243,TXN_4530804,Coffee,4.0,2.0,8.0,Credit Card,Takeaway,2023-01-12,1
244,TXN_9642066,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-08-31,8
245,TXN_7328294,Juice,2.0,3.0,6.0,Cash,Takeaway,2023-07-07,7
247,TXN_9238066,Juice,5.0,1.5,7.5,Digital Wallet,In-store,2023-09-15,9
248,TXN_5415901,Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-10-21,10
249,TXN_6714420,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-03-30,3
250,TXN_6616971,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-09-02,9
251,TXN_7803615,Salad,3.0,5.0,15.0,Cash,In-store,2023-12-13,12
253,TXN_3544789,Tea,4.0,1.5,6.0,Credit Card,In-store,2023-07-14,7
254,TXN_1583597,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-10,5
255,TXN_8472308,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-08-19,8
256,TXN_1967565,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-03-31,3
257,TXN_2029497,Sandwich,2.0,4.0,8.0,Cash,Takeaway,2023-01-06,1
258,TXN_8929774,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-10-02,10
260,TXN_7852990,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-07-10,7
261,TXN_2534066,Salad,2.0,5.0,10.0,Cash,Takeaway,2023-10-13,10
262,TXN_2059647,Tea,1.0,1.5,1.5,Digital Wallet,In-store,2023-05-29,5
263,TXN_2485183,Smoothie,5.0,4.0,20.0,Cash,In-store,2023-07-07,7
264,TXN_7374846,Sandwich,1.0,4.0,4.0,Credit Card,Takeaway,2023-05-29,5
265,TXN_9401522,Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-11-16,11
266,TXN_8250651,Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-03-13,3
267,TXN_7191245,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-05-22,5
268,TXN_8982764,Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-11-23,11
269,TXN_8669422,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-10-15,10
270,TXN_1153869,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-11-03,11
271,TXN_5043774,Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-06-08,6
272,TXN_1746320,Salad,1.0,5.0,5.0,Cash,Takeaway,2023-11-14,11
273,TXN_1077129,Cookie,1.0,1.0,1.0,Credit Card,In-store,2023-09-12,9
274,TXN_4865338,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-11-26,11
275,TXN_5616583,Smoothie,1.0,4.0,4.0,Credit Card,Takeaway,2023-10-13,10
276,TXN_2078474,Cookie,2.0,1.0,2.0,Credit Card,Takeaway,2023-11-03,11
277,TXN_2130245,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-11-13,11
278,TXN_3229409,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-04-15,4
279,TXN_9076216,Cake,1.0,3.0,3.0,Cash,Takeaway,2023-12-17,12
280,TXN_6371987,Tea,5.0,1.5,7.5,Credit Card,Takeaway,2023-03-13,3
281,TXN_9913877,Juice,2.0,2.0,4.0,Credit Card,Takeaway,2023-05-09,5
282,TXN_2084377,Smoothie,1.0,4.0,4.0,Credit Card,Takeaway,2023-10-22,10
283,TXN_1842675,Juice,4.0,1.0,4.0,Credit Card,Takeaway,2023-06-23,6
284,TXN_8605813,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-06-30,6
285,TXN_9755352,Sandwich,5.0,4.0,20.0,Credit Card,In-store,2023-05-13,5
287,TXN_2305908,Coffee,3.0,2.0,6.0,Cash,Takeaway,2023-04-25,4
288,TXN_6953697,Juice,3.0,4.0,12.0,Credit Card,Takeaway,2023-05-27,5
290,TXN_7557340,Tea,5.0,1.5,7.5,Credit Card,In-store,2023-12-11,12
291,TXN_1157817,Smoothie,1.0,4.0,4.0,Digital Wallet,In-store,2023-04-25,4
292,TXN_2020318,Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-10-12,10
293,TXN_8692094,Coffee,5.0,2.0,10.0,Credit Card,Takeaway,2023-08-30,8
294,TXN_5307411,Cake,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-10-21,10
295,TXN_9703120,Coffee,3.0,2.0,6.0,Credit Card,Takeaway,2023-11-02,11
296,TXN_1289133,Juice,1.0,3.0,3.0,Cash,Takeaway,2023-09-19,9
297,TXN_2031459,Cake,3.0,3.0,9.0,Cash,Takeaway,2023-07-04,7
298,TXN_1333682,Smoothie,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-01-28,1
301,TXN_4912930,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-02-26,2
302,TXN_4942692,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-01-15,1
303,TXN_3723007,Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-05-18,5
304,TXN_7922392,Sandwich,3.0,4.0,12.0,Credit Card,Takeaway,2023-05-03,5
305,TXN_7498727,Salad,3.0,5.0,15.0,Cash,Takeaway,2023-11-06,11
306,TXN_1222338,Cookie,1.0,1.0,1.0,Credit Card,In-store,2023-10-11,10
307,TXN_6878866,Smoothie,3.0,4.0,12.0,Credit Card,Takeaway,2023-02-25,2
309,TXN_9223242,Smoothie,2.0,4.0,8.0,Credit Card,Takeaway,2023-09-10,9
310,TXN_6244211,Smoothie,2.0,4.0,8.0,Credit Card,Takeaway,2023-08-11,8
311,TXN_5446858,Juice,1.0,1.0,1.0,Cash,In-store,2023-11-07,11
312,TXN_4612864,Tea,3.0,1.5,4.5,Credit Card,Takeaway,2023-02-14,2
313,TXN_5411381,Cookie,3.0,1.0,3.0,Credit Card,Takeaway,2023-04-28,4
314,TXN_3047598,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-09-06,9
316,TXN_7496926,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-04-23,4
318,TXN_7559388,Salad,4.0,5.0,20.0,Digital Wallet,Takeaway,2023-02-26,2
319,TXN_8540499,Cookie,3.0,1.0,3.0,Cash,In-store,2023-01-22,1
320,TXN_4225756,Cookie,3.0,1.0,3.0,Credit Card,In-store,2023-03-10,3
321,TXN_6795640,Cookie,4.0,1.0,4.0,Digital Wallet,Takeaway,2023-01-28,1
322,TXN_6702428,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-08-11,8
323,TXN_8955259,Juice,2.0,4.0,8.0,Credit Card,Takeaway,2023-11-18,11
324,TXN_4639319,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-01-09,1
325,TXN_5997803,Coffee,5.0,2.0,10.0,Credit Card,In-store,2023-12-03,12
326,TXN_1340956,Juice,4.0,2.0,8.0,Credit Card,Takeaway,2023-10-26,10
327,TXN_1259671,Sandwich,3.0,4.0,12.0,Digital Wallet,In-store,2023-10-08,10
328,TXN_8319993,Juice,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-08-06,8
330,TXN_5523450,Salad,5.0,5.0,25.0,Credit Card,Takeaway,2023-07-02,7
331,TXN_7838964,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-06-15,6
332,TXN_2773987,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-01-11,1
335,TXN_8685737,Smoothie,2.0,4.0,8.0,Credit Card,In-store,2023-11-02,11
337,TXN_1524626,Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-12-29,12
338,TXN_7275407,Smoothie,2.0,4.0,8.0,Digital Wallet,In-store,2023-10-20,10
